REGION;COUNTRY;REPORTYEAR;POPULATION;TOTAL Actual DD;Actual DBD;Actual DCD;Total Utilized DD;Utilized DBD;Utilized DCD;DD Kidney Tx;LD Kidney Tx;TOTAL Kidney Tx;DD Liver Tx;DOMINO Liver Tx;LD Liver Tx;TOTAL Liver TX;Total Heart TX;DD Lung Tx;LD Lung Tx;TOTAL Lung Tx;Pancreas Tx;Kidney Pancreas Tx;Small Bowel Tx
Africa;United Republic of Tanzania;2020;59,7;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0
Western Pacific;Singapore;2020;5,9;12;11;1;12;11;1;15;31;46;11;0;8;19;3;2;0;2;0;0;0
Western Pacific;Republic of Korea;2020;51,3;478;478;0;478;478;0;848;1432;2280;395;;1147;1542;173;150;0;150;32;0;1
South-East Asia;Sri Lanka;2020;21,4;98;98;0;98;98;0;98;210;308;11;0;0;11;0;0;0;0;0;0;0
Eastern Mediterranean;Jordan;2020;10,2;1;1;0;1;1;0;1;101;102;1;0;5;6;1;;;;;;
Eastern Mediterranean;Morocco;2020;36,9;5;5;0;5;5;0;5;8;13;0;0;0;0;0;0;0;0;0;0;0
Western Pacific;Philippines;2020;109,6;6;6;0;6;6;0;12;120;132;0;0;0;0;0;0;0;0;0;0;0
Europe;Kazakhstan;2020;18,8;2;2;0;2;2;0;4;73;77;1;0;28;29;2;2;0;2;0;0;0
Europe;Monaco;2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Western Pacific;Malaysia;2021;32,8;7;7;0;7;7;0;15;63;78;7;0;8;15;0;0;0;0;0;0;0
Eastern Mediterranean;Kuwait;2021;4,3;25;25;0;25;25;0;39;48;87;0;0;0;0;0;0;0;0;0;0;0
Western Pacific;Mongolia;2021;3,3;7;7;0;7;7;0;8;14;22;7;0;37;44;0;0;0;0;0;0;0
South-East Asia;Bangladesh;2021;166,3;0;0;0;0;0;0;0;228;228;0;0;0;0;0;0;0;0;0;0;0
Africa;Kenya;2021;55;0;0;0;0;0;0;0;160;160;0;0;0;0;0;0;0;0;0;0;0
America;Chile;2021;19,2;147;147;0;136;136;0;192;54;246;110;;15;125;28;22;0;22;3;3;0
America;Costa Rica;2021;5,1;17;17;0;16;16;0;16;14;30;15;0;5;20;1;2;0;2;0;0;0
America;Dominican Republic;2021;11;9;9;0;8;8;0;16;29;45;1;0;0;1;0;0;0;0;0;0;0
America;El Salvador;2021;6,5;0;0;0;0;0;0;0;27;27;0;0;0;0;0;0;0;0;0;0;0
America;Honduras;2021;10,1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
America;Mexico;2021;130,3;260;260;0;257;257;0;475;1499;1974;124;0;11;135;26;6;0;6;0;0;0
America;Paraguay;2021;7,2;15;15;0;15;15;0;24;9;33;0;0;0;0;5;0;0;0;0;0;0
America;Uruguay;2021;3,5;43;43;0;42;42;0;78;14;92;20;0;0;20;7;2;0;2;0;0;0
Europe;Armenia;2021;3;0;0;0;0;0;0;0;16;16;0;0;2;2;0;0;0;0;0;0;0
Europe;Belarus;2021;9,4;218;218;0;211;211;0;328;8;336;87;0;4;91;48;6;0;6;2;2;0
Eastern Mediterranean;Oman;2021;5,2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
Eastern Mediterranean;Qatar;2021;2,9;11;11;0;11;11;0;17;31;48;6;0;0;6;0;1;0;1;0;0;0
America;Trinidad and Tobago;2021;1,4;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0
Europe;Georgia;2021;4;0;0;0;0;0;0;0;22;22;0;0;15;15;0;0;0;0;0;0;0
Europe;Iceland;2021;0,3;11;11;0;11;11;0;7;2;9;0;0;0;0;0;0;0;0;0;0;0
Europe;Israel;2021;8,8;92;89;3;91;88;3;149;327;476;87;;9;96;24;55;0;55;3;3;0
Europe;Republic of Moldova;2021;4;0;0;0;0;0;0;0;0;0;0;0;4;4;0;;;;;;
Western Pacific;China;2021;1,452.50;5272;3285;1987;5243;3268;1975;9577;2462;12039;5011;12;811;5834;738;775;0;775;;;
Eastern Mediterranean;Saudi Arabia;2021;35,3;102;102;0;102;102;0;91;953;1044;56;;355;411;48;32;0;32;3;3;0
Eastern Mediterranean;Syrian Arab Republic;2021;18,3;0;0;0;0;0;0;0;315;315;0;0;0;0;0;0;0;0;0;0;0
South-East Asia;Thailand;2021;70;190;190;0;184;184;0;351;81;432;57;0;32;89;24;1;0;1;1;0;1
Eastern Mediterranean;United Arab Emirates;2021;10;39;39;0;39;39;0;66;64;130;36;0;10;46;3;0;0;0;5;5;0
Europe;Norway;2021;5,5;96;96;0;95;95;0;164;67;231;97;0;1;98;23;24;0;24;5;4;
Europe;Serbia;2021;8,7;3;3;0;3;3;0;5;0;5;3;0;0;3;1;0;0;0;0;0;0
Europe;Switzerland;2021;8,7;166;109;57;161;108;53;240;122;362;148;1;2;151;33;42;0;42;15;12;1
America;United States of America;2021;332,9;13863;9673;4190;12402;9108;3294;19519;5971;25490;8667;2;567;9236;3863;2569;0;2569;963;820;96
America;Argentina;2021;45,6;630;630;0;571;571;0;1016;221;1237;397;1;40;438;114;37;0;37;39;36;1
America;Brazil;2021;214;2937;2937;0;2616;2616;0;4222;337;4559;1893;1;50;1944;334;84;0;84;162;117;5
Europe;Germany;2021;83,9;933;933;0;900;900;0;1517;475;1992;780;0;54;834;329;283;0;283;65;53;5
Europe;Austria;2021;9;182;173;9;168;162;6;264;42;306;150;0;9;159;59;123;0;123;14;13;1
Europe;Belgium;2021;11,6;312;177;135;280;159;121;358;59;417;247;0;21;268;52;94;0;94;8;7;0
Europe;Bulgaria;2021;6,9;17;17;0;14;14;0;19;14;33;13;0;0;13;2;0;0;0;0;0;0
Europe;Cyprus;2021;1,2;5;5;0;5;5;0;9;10;19;;;;;;;;;0;0;
Europe;Estonia;2021;1,3;21;21;0;21;21;0;45;3;48;4;0;0;4;;2;0;2;1;1;
Europe;Finland;2021;5,5;122;118;4;119;115;4;222;46;268;75;0;0;75;22;24;0;24;31;30;0
Europe;France;2021;65,4;1614;1392;222;1589;1373;216;2750;502;3252;1204;1;20;1225;415;322;0;322;67;64;1
Europe;Greece;2021;10,4;52;52;0;45;45;0;84;91;175;24;0;0;24;13;5;0;5;0;0;0
Europe;Hungary;2021;9,6;102;102;0;101;101;0;160;34;194;59;0;0;59;34;14;0;14;4;4;0
Europe;Ireland;2021;5;65;57;8;62;54;8;104;35;139;35;0;0;35;10;20;0;20;2;2;0
Europe;Latvia;2021;1,9;17;17;0;16;16;0;26;2;28;1;0;0;1;2;0;0;0;0;0;0
Europe;Lithuania;2021;2,7;51;47;4;51;47;4;94;8;102;22;0;;22;6;1;0;1;1;1;
Europe;Luxembourg;2021;0,6;2;2;0;2;2;0;;;;;;;;;;;;;;
Europe;Malta;2021;0,4;3;3;0;3;3;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0
Europe;Poland;2021;37,8;396;396;0;386;386;0;726;44;770;277;0;20;297;200;68;0;68;20;17;0
Europe;Portugal;2021;10,2;302;285;17;288;274;14;393;36;429;201;1;0;202;49;34;;34;22;21;
Europe;Netherlands;2021;17,2;273;99;174;271;99;172;464;452;916;152;1;28;181;44;92;0;92;14;13;
Europe;Romania;2021;19,1;47;47;0;47;47;0;88;68;156;42;0;11;53;3;1;0;1;0;0;
Europe;Sweden;2021;10,2;197;170;27;192;165;27;327;118;445;169;0;1;170;66;51;0;51;13;9;2
Europe;United Kingdom;2021;68,2;1350;786;564;1267;756;511;2184;733;2917;800;0;21;821;169;105;0;105;137;110;24
Europe;Croatia;2021;4,1;121;121;0;112;112;0;119;5;124;104;0;0;104;34;9;0;9;6;6;0
Europe;Czech Republic;2021;10,7;268;255;13;242;232;10;414;42;456;185;1;0;186;74;52;0;52;39;29;3
Europe;Denmark;2021;5,8;105;105;0;101;101;0;184;68;252;49;0;1;50;24;22;0;22;4;3;
Europe;Slovakia;2021;5,5;60;60;0;55;55;0;97;18;115;26;0;0;26;17;0;0;0;0;0;0
Europe;Slovenia;2021;2,1;41;41;0;39;39;0;51;1;52;21;0;0;21;17;15;0;15;0;0;0
Europe;Spain;2021;46,7;1905;1243;662;1690;1108;582;2627;323;2950;1077;0;1;1078;302;362;0;362;82;69;7
Western Pacific;Japan;2021;126,1;78;66;12;76;64;12;125;1647;1772;60;0;361;421;59;74;19;93;23;23;2
Europe;Italy;2021;60,4;1458;1365;93;1387;1307;80;1702;341;2043;1359;1;36;1396;252;117;0;117;54;40;0
Western Pacific;Australia;2021;25,8;421;297;124;402;290;112;656;202;858;253;0;1;254;112;171;0;171;37;32;2
Europe;Bosnia and Herzegovina;2021;3,3;1;1;0;1;1;0;2;8;10;1;0;0;1;0;0;0;0;0;0;0
America;Canada;2021;38,1;734;502;232;734;502;232;1171;502;1673;496;;93;589;142;352;0;352;53;43;5
Western Pacific;New Zealand;2021;4,9;66;60;6;63;59;4;102;85;187;51;0;2;53;14;26;0;26;6;5;0
Europe;Türkiye ;2021;85;305;305;0;165;165;;298;3077;3375;141;2;1387;1528;24;21;0;21;0;0;2
America;Bolivia (Plurinational State of);2021;11,8;0;0;0;0;0;0;0;35;35;0;0;1;1;;;;;;;
Eastern Mediterranean;Pakistan;2021;225,2;0;0;0;0;0;0;0;1003;1003;0;0;131;131;0;0;0;0;0;0;0
Eastern Mediterranean;Iran (Islamic Republic of);2021;85;979;979;0;925;925;0;1095;682;1777;754;0;100;854;141;10;0;10;50;44;9
America;Colombia;2021;51,3;268;268;0;262;262;0;478;145;623;160;0;69;229;69;21;0;21;13;12;1
